User,Location,Card Number,Amount,Maximum Amount,Merchant,Transaction Type,Fraudulent
1,New York,4.93E+15,100,500,Amazon,Online Purchase,0
1,New York,4.93E+15,150,500,Grocery Store,In-store Purchase,0
1,New York,4.93E+15,200,500,Gas Station,ATM Withdrawal,0
1,New York,4.93E+15,450,500,Online Electronics Store,Online Purchase,0
1,New York,4.93E+15,1000,500,Jewelry Store,In-store Purchase,0
2,Los Angeles,4.03E+15,80,300,Coffee Shop,In-store Purchase,0
2,Los Angeles,4.03E+15,120,300,Restaurant,In-store Purchase,0
2,Los Angeles,4.03E+15,200,300,Gas Station,ATM Withdrawal,0
2,Los Angeles,4.03E+15,300,300,Electronics Store,In-store Purchase,0
2,Los Angeles,4.03E+15,320,300,Online Retailer,Online Purchase,1
3,London,5.21E+15,70,200,Supermarket,In-store Purchase,0
3,London,5.21E+15,90,200,Clothing Store,In-store Purchase,0
3,London,5.21E+15,120,200,Gas Station,ATM Withdrawal,0
3,London,5.21E+15,200,200,Online Retailer,Online Purchase,0
3,London,5.21E+15,220,200,Electronics Store,In-store Purchase,0
4,Paris,6.01E+15,150,400,Cafe,In-store Purchase,0
4,Paris,6.01E+15,180,400,Grocery Store,In-store Purchase,0
4,Paris,6.01E+15,250,400,Gas Station,ATM Withdrawal,0
4,Paris,6.01E+15,400,400,Jewelry Store,In-store Purchase,0
4,Paris,6.01E+15,380,400,Online Retailer,Online Purchase,0
5,Tokyo,4.92E+15,200,600,Restaurant,In-store Purchase,0
5,Tokyo,4.92E+15,220,600,Clothing Store,In-store Purchase,0
5,Tokyo,4.92E+15,300,600,Gas Station,ATM Withdrawal,0
5,Tokyo,4.92E+15,500,600,Electronics Store,In-store Purchase,0
5,Tokyo,4.92E+15,550,600,Online Retailer,Online Purchase,0
6,Sydney,4.92E+15,300,700,Coffee Shop,In-store Purchase,0
6,Sydney,4.92E+15,320,700,Grocery Store,In-store Purchase,0
7,Berlin,4.92E+15,80,200,Cafe,In-store Purchase,0
7,Berlin,4.92E+15,120,200,Grocery Store,In-store Purchase,0
7,Berlin,4.92E+15,150,200,Gas Station,ATM Withdrawal,0
7,Berlin,4.92E+15,200,200,Online Retailer,Online Purchase,0
7,Berlin,4.92E+15,250,200,Electronics Store,In-store Purchase,0
8,Beijing,4.02E+15,90,300,Coffee Shop,In-store Purchase,0
8,Beijing,4.02E+15,110,300,Restaurant,In-store Purchase,0
8,Beijing,4.02E+15,140,300,Gas Station,ATM Withdrawal,0
8,Beijing,4.02E+15,180,300,Electronics Store,In-store Purchase,0
8,Beijing,4.02E+15,200,300,Online Retailer,Online Purchase,0
9,Mumbai,4.92E+15,100,400,Supermarket,In-store Purchase,0
9,Mumbai,4.92E+15,120,400,Clothing Store,In-store Purchase,0
9,Mumbai,4.92E+15,150,400,Gas Station,ATM Withdrawal,0
9,Mumbai,4.92E+15,180,400,Online Retailer,Online Purchase,0
9,Mumbai,4.92E+15,200,400,Electronics Store,In-store Purchase,0
10,Moscow,6.01E+15,110,500,Cafe,In-store Purchase,0
10,Moscow,6.01E+15,130,500,Grocery Store,In-store Purchase,0
10,Moscow,6.01E+15,160,500,Gas Station,ATM Withdrawal,0
10,Moscow,6.01E+15,200,500,Electronics Store,In-store Purchase,0
10,Moscow,6.01E+15,240,500,Online Retailer,Online Purchase,0
11,Seoul,4.91E+15,120,600,Coffee Shop,In-store Purchase,0
11,Seoul,4.91E+15,140,600,Restaurant,In-store Purchase,0
11,Seoul,4.91E+15,170,600,Gas Station,ATM Withdrawal,0
11,Seoul,4.91E+15,220,600,Electronics Store,In-store Purchase,0
11,Seoul,4.91E+15,260,600,Online Retailer,Online Purchase,0
12,Sydney,4.91E+15,130,700,Cafe,In-store Purchase,0
12,Sydney,4.91E+15,150,700,Grocery Store,In-store Purchase,0
12,Sydney,4.91E+15,180,700,Gas Station,ATM Withdrawal,0
13,Madrid,4.93E+15,140,800,Coffee Shop,In-store Purchase,0
13,Madrid,4.93E+15,160,800,Grocery Store,In-store Purchase,0
13,Madrid,4.93E+15,190,800,Gas Station,ATM Withdrawal,0
13,Madrid,4.93E+15,230,800,Electronics Store,In-store Purchase,0
13,Madrid,4.93E+15,270,800,Online Retailer,Online Purchase,0
14,Rome,4.91E+15,150,900,Cafe,In-store Purchase,0
14,Rome,4.91E+15,170,900,Grocery Store,In-store Purchase,0
14,Rome,4.91E+15,200,900,Gas Station,ATM Withdrawal,0
14,Rome,4.91E+15,240,900,Electronics Store,In-store Purchase,0
14,Rome,4.91E+15,280,900,Online Retailer,Online Purchase,0
15,Buenos Aires,4.02E+15,160,1000,Coffee Shop,In-store Purchase,0
15,Buenos Aires,4.02E+15,180,1000,Restaurant,In-store Purchase,0
15,Buenos Aires,4.02E+15,210,1000,Gas Station,ATM Withdrawal,0
15,Buenos Aires,4.02E+15,250,1000,Electronics Store,In-store Purchase,0
15,Buenos Aires,4.02E+15,290,1000,Online Retailer,Online Purchase,0
16,Cape Town,5.21E+15,170,1100,Supermarket,In-store Purchase,0
16,Cape Town,5.21E+15,190,1100,Clothing Store,In-store Purchase,0
16,Cape Town,5.21E+15,220,1100,Gas Station,ATM Withdrawal,0
16,Cape Town,5.21E+15,260,1100,Online Retailer,Online Purchase,0
16,Cape Town,5.21E+15,300,1100,Electronics Store,In-store Purchase,0
17,Toronto,6.01E+15,180,1200,Cafe,In-store Purchase,0
17,Toronto,6.01E+15,200,1200,Grocery Store,In-store Purchase,0
17,Toronto,6.01E+15,230,1200,Gas Station,ATM Withdrawal,0
17,Toronto,6.01E+15,270,1200,Electronics Store,In-store Purchase,0
17,Toronto,6.01E+15,310,1200,Online Retailer,Online Purchase,0
18,Dubai,4.91E+15,190,1300,Coffee Shop,In-store Purchase,0
18,Dubai,4.91E+15,210,1300,Restaurant,In-store Purchase,0
19,Paris,4.92E+15,600,1500,Electronics Store,In-store Purchase,0
20,London,4.92E+15,500,1600,Online Retailer,Online Purchase,0
21,New York,4.93E+15,400,1700,Gas Station,ATM Withdrawal,0
22,Tokyo,4.93E+15,300,1800,Cafe,In-store Purchase,0
23,Berlin,4.03E+15,200,1900,Grocery Store,In-store Purchase,0
24,Moscow,4.03E+15,100,2000,Restaurant,In-store Purchase,0
25,Sydney,4.03E+15,150,2100,Gas Station,ATM Withdrawal,0
26,Madrid,4.93E+15,250,2200,Online Retailer,Online Purchase,0
27,Rome,4.91E+15,350,2300,Electronics Store,In-store Purchase,0
28,Buenos Aires,4.91E+15,450,2400,Coffee Shop,In-store Purchase,0
29,Cape Town,4.92E+15,550,2500,Grocery Store,In-store Purchase,0
30,Toronto,4.92E+15,650,2600,Gas Station,ATM Withdrawal,0
31,Dubai,4.92E+15,750,2700,Online Retailer,Online Purchase,0
